Player,Pos,Squad,Age,Touches,Touches in Def Pen,Touches in Def 1/3,Touches in Mid 1/3,Touches in Att 1/3,Att Pen,Live ball touches
Max Aarons,DF,Bournemouth,24,73,2,19,40,15,0,73
Joshua Acheampong,DF,Chelsea,18,72.1,3.68,25.3,42.6,4.21,1.58,72.1
Tyler Adams,MF,Bournemouth,25,61.3,2.84,16,35.7,10.3,0.83,61.3
Tosin Adarabioyo,DF,Chelsea,26,84.7,11.1,40.1,42.9,1.72,0.89,84.7
Simon Adingra,"FW,MF",Brighton,22,44.9,0.82,5.41,14.3,25.8,6.23,44.9
Emmanuel Agbadou,DF,Wolves,27,74.6,12.1,41.3,32.1,1.78,0.45,74.6
Asher Agbinone,MF,Crystal Palace,18,80,0,0,20,60,0,80
Ola Aina,DF,Nottingham Forest,27,51.3,4.68,18.4,21.5,12.3,0.66,51.3
Rayan Aït-Nouri,DF,Wolves,23,62.3,2.78,16.7,26.6,19.9,2.78,62.3
Kristoffer Ajer,DF,Brentford,26,49.7,3.31,16.6,23,10.5,2.38,49.7
Manuel Akanji,DF,Manchester City,29,84,5.31,25,41.1,18.1,0.85,84
Nathan Aké,DF,Manchester City,29,79.5,6.8,27.3,44.1,8.13,0.67,79.5
Carlos Alcaraz,MF,Southampton,21,170,0,10,80,90,20,170
Carlos Alcaraz,"FW,MF",Everton,21,44.5,1.76,7.41,19.8,18.4,2.24,44.5
Trent Alexander-Arnold,DF,Liverpool,25,85.7,3.35,22.5,38.6,25.1,1.67,85.7
Alisson,GK,Liverpool,31,36.2,26.6,35.5,0.72,0,0,36.2
Miguel Almirón,FW,Newcastle United,30,47.6,0.59,5.88,20.6,21.2,5.29,47.6
Olabade Aluko,DF,Leicester City,,6,0,0,6,1,0,6
Edson Álvarez,MF,West Ham United,26,62.9,3.4,18.3,35.2,9.85,0.61,62.9
Will Alves,FW,Leicester City,19,1,0,0,0,1,0,1
Harry Amass,DF,Manchester Utd,17,65.8,3.42,21.6,23.2,22.1,1.32,65.8
Samuel Amo-Ameyaw,"FW,DF",Southampton,18,53.3,0,16.7,16.7,23.3,3.33,53.3
Mathis Amougou,MF,Chelsea,18,90,10,20,40,30,0,90
Joachim Andersen,DF,Crystal Palace,28,93,14,38,50,5,0,93
Joachim Andersen,DF,Fulham,28,81.4,11.8,43,35.3,3.55,0.77,81.4
Elliot Anderson,MF,Nottingham Forest,21,60.5,3.37,14,29.4,18.1,2.38,60.5
André,MF,Wolves,23,59,3.24,16,38,5.64,0.11,59
Michail Antonio,FW,West Ham United,34,31.8,0.32,2.8,13.3,16.2,3.87,31.8
Antony,"DF,MF",Manchester Utd,24,63.1,1.25,13.8,16.3,33.8,5,63.1
Julian Araujo,DF,Bournemouth,22,50,3.64,16.4,24.7,10,0.36,50
Cameron Archer,FW,Southampton,23,24.9,1,4.31,11.2,9.63,3.25,24.8
Alphonse Areola,GK,West Ham United,31,41.8,33.2,41.4,0.48,0,0,41.8
Joe Aribo,"MF,DF",Southampton,28,56.7,2.32,14,29.9,13.3,1.96,56.7
Adam Armstrong,"FW,MF",Southampton,27,27.1,0.79,3.17,10.3,13.8,3.53,27.1
Harrison Armstrong,MF,Everton,17,40,0,6,24,14,4,40
Kepa Arrizabalaga,GK,Bournemouth,29,35.1,25.8,34.1,0.94,0.03,0.03,35.1
Marco Asensio,MF,Aston Villa,28,46.5,0.72,4.58,19,24.1,3.61,46.3
Brandon Austin,GK,Tottenham Hotspur,25,36,30,36,0,0,0,36
Taiwo Awoniyi,FW,Nottingham Forest,26,36.3,1.09,3.48,17,16.1,4.57,36.3
Yasin Ayari,MF,Brighton,20,56.6,2.66,12.6,28.6,16.2,2.06,56.6
Jordan Ayew,"FW,MF",Crystal Palace,32,60,0,0,35,25,5,60
Jordan Ayew,"FW,MF",Leicester City,32,43.8,1.15,5.66,22.4,17.1,3.02,43.8
Benoît Badiashile,DF,Chelsea,23,90.8,8.38,37.3,50.3,3.51,0,90.8
Leon Bailey,"FW,MF",Aston Villa,26,42.9,1.42,6.06,12.2,25.4,5.51,42.9
Carlos Baleba,MF,Brighton,20,57.3,3.18,13.9,33.6,11.5,0.41,57.3
Ross Barkley,MF,Aston Villa,30,71.4,2.62,11.5,42.3,18.6,2.92,71.4
Harvey Barnes,FW,Newcastle United,26,41.5,0.87,4.97,13.2,23.7,6.56,41.5
