PC1,PC2,player,team,role_cluster,role_name
-1.7397598838519621,0.384424197755905,Aaron Cresswell,West Ham United,1,Defensive Midfielders
-2.337599811700231,-4.349913116969778,Aaron Ramsdale,Southampton,2,GoalKeepers
-1.3964710390705737,1.3518543203137,Aaron Wan-Bissaka,West Ham United,3,Box-to-Box Midfielders
0.7143786992951757,-0.1632350184009469,Abdoulaye Doucouré,Everton,0,Attacking Creators
-2.1312738865713996,-0.11053454433580415,Abdukodir Khusanov,Manchester City,1,Defensive Midfielders
0.9363078450985821,0.7118369035226556,Abdul Fatawu Issahaku,Leicester City,0,Attacking Creators
2.6688476038037727,-1.0901052026310993,Adam Armstrong,Southampton,4,Strikers
-1.3549845368654172,1.4511690400867654,Adam Lallana,Southampton,3,Box-to-Box Midfielders
-0.962075357780681,-0.018150272643819444,Adam Smith,Bournemouth,1,Defensive Midfielders
-2.456284644961128,1.2231021958081905,Adam Webster,Brighton,1,Defensive Midfielders
-1.0434844820094802,1.530022434208181,Adam Wharton,Crystal Palace,3,Box-to-Box Midfielders
2.4772737083305567,-0.8493775750760233,Adama Traoré,Fulham,4,Strikers
3.3954909785596805,-0.2617753318729512,Alejandro Garnacho,Manchester Utd,4,Strikers
1.2835724879417467,0.07939156540208027,Alex Iwobi,Fulham,0,Attacking Creators
-2.1949135215679396,-4.7413655423979115,Alex McCarthy,Southampton,2,GoalKeepers
-2.191886883670384,-4.59180091858913,Alex Palmer,Ipswich Town,2,GoalKeepers
-0.12262296496014286,1.9541506719031771,Alex Scott,Bournemouth,3,Box-to-Box Midfielders
4.964830248499722,-1.0227085538868457,Alexander Isak,Newcastle United,4,Strikers
-0.1245537614793342,1.7871133539553847,Alexis Mac Allister,Liverpool,3,Box-to-Box Midfielders
-2.19517660244018,-4.577330269076272,Alisson,Liverpool,2,GoalKeepers
-2.3035361244869477,-4.478169974608853,Alphonse Areola,West Ham United,2,GoalKeepers
-2.2969086513411434,-4.507858328411044,Altay Bayındır,Manchester Utd,2,GoalKeepers
1.8912271734475081,0.25508706508848744,Amad Diallo,Manchester Utd,0,Attacking Creators
-0.9534059109781622,1.9810218298810534,Amadou Onana,Aston Villa,3,Box-to-Box Midfielders
1.086355376282436,-0.24114201362616247,Andreas Pereira,Fulham,0,Attacking Creators
-0.9353115634752593,0.5958090948818144,Andrew Robertson,Liverpool,3,Box-to-Box Midfielders
-1.8436655330680123,2.2453049053038505,André,Wolves,3,Box-to-Box Midfielders
-2.269743957460433,-4.495750674756885,André Onana,Manchester Utd,2,GoalKeepers
-0.6895542029264511,1.1109481180298666,Andrés García,Aston Villa,3,Box-to-Box Midfielders
2.125851628986776,-1.2077118088630885,Anthony Elanga,Nottingham Forest,0,Attacking Creators
2.4443218149920383,-0.3568643922908944,Anthony Gordon,Newcastle United,0,Attacking Creators
3.0350508623305017,-0.18170864233060877,Antoine Semenyo,Bournemouth,4,Strikers
-1.4702205302281743,1.5119943269829292,Antonee Robinson,Fulham,3,Box-to-Box Midfielders
-2.2957195372065446,-4.313079112504631,Antonín Kinský,Tottenham Hotspur,2,GoalKeepers
-2.101250846485752,-0.2308213549803822,Archie Gray,Tottenham Hotspur,1,Defensive Midfielders
-2.2158517164472666,-4.514455099880468,Arijanet Muric,Ipswich Town,2,GoalKeepers
1.9418347357422756,-1.0139381244440255,Armando Broja,Everton,0,Attacking Creators
-2.380706413164803,0.5161480478164749,Armel Bella Kotchap,Southampton,1,Defensive Midfielders
-1.4060593200136162,1.06249474101171,Ashley Young,Everton,3,Box-to-Box Midfielders
-1.5920658250034159,0.6460959458523645,Axel Disasi,Aston Villa,1,Defensive Midfielders
-1.6413338105440192,0.09931292451027778,Axel Tuanzebe,Ipswich Town,1,Defensive Midfielders
-2.2524884242605387,-4.584011463271768,Bart Verbruggen,Brighton,2,GoalKeepers
