player,team,minutes,touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,tackles,interceptions,shots,xg,touches_def_3rd_pct,touches_mid_3rd_pct,touches_att_3rd_pct,touches_att_pen_pct
Aaron Cresswell,West Ham United,824.0,74.7,4.89,29.3,35.7,10.2,0.22,1.2,0.87,0.54,0.02,0.392235609103079,0.4779116465863454,0.1365461847389558,0.0029451137884872825
Aaron Ramsdale,Southampton,2700.0,43.8,31.5,42.9,1.07,0.0,0.0,0.0,0.07,0.0,0.0,0.9794520547945206,0.02442922374429224,0.0,0.0
Aaron Wan-Bissaka,West Ham United,3154.0,64.5,4.2,19.5,27.7,18.2,1.37,2.0,1.89,0.46,0.03,0.3023255813953488,0.4294573643410853,0.2821705426356589,0.02124031007751938
Abdoulaye Doucouré,Everton,2564.0,40.7,1.12,7.89,18.9,14.5,2.28,1.68,0.35,1.09,0.14,0.19385749385749385,0.46437346437346433,0.3562653562653562,0.056019656019656014
Abdukodir Khusanov,Manchester City,503.0,79.5,8.04,36.6,37.7,5.54,0.18,0.89,0.54,0.18,0.0,0.46037735849056605,0.4742138364779875,0.06968553459119498,0.0022641509433962265
Abdul Fatawu Issahaku,Leicester City,579.0,50.9,2.97,11.4,17.8,24.5,4.06,3.28,0.63,2.03,0.06,0.22396856581532418,0.34970530451866405,0.481335952848723,0.07976424361493123
Adam Armstrong,Southampton,1248.0,27.1,0.79,3.17,10.3,13.8,3.53,0.86,0.22,1.8,0.24,0.11697416974169741,0.3800738007380074,0.5092250922509225,0.13025830258302581
Adam Lallana,Southampton,361.0,79.5,4.75,22.8,38.8,18.3,1.5,2.0,1.25,0.75,0.05,0.28679245283018867,0.48805031446540875,0.23018867924528302,0.018867924528301886
Adam Smith,Bournemouth,1590.0,46.6,2.32,13.6,22.3,11.1,0.45,1.36,0.85,0.17,0.04,0.2918454935622317,0.47854077253218885,0.23819742489270385,0.00965665236051502
Adam Webster,Brighton,887.0,83.2,12.0,39.3,40.3,4.34,1.52,1.01,2.02,0.51,0.02,0.47235576923076916,0.48437499999999994,0.052163461538461534,0.01826923076923077
Adam Wharton,Crystal Palace,1318.0,59.7,2.05,14.0,31.7,14.5,0.75,2.33,1.37,0.89,0.03,0.23450586264656614,0.5309882747068676,0.24288107202680065,0.012562814070351758
Adama Traoré,Fulham,1772.0,40.7,0.2,4.21,14.5,23.1,4.62,1.02,0.05,1.98,0.2,0.10343980343980343,0.3562653562653562,0.5675675675675675,0.1135135135135135
Alejandro Garnacho,Manchester Utd,2199.0,47.5,0.53,5.33,14.9,28.0,7.21,1.23,0.53,3.44,0.3,0.11221052631578947,0.3136842105263158,0.5894736842105263,0.15178947368421053
Alex Iwobi,Fulham,2981.0,56.2,1.0,7.37,22.6,27.0,3.5,1.33,0.42,2.05,0.14,0.13113879003558718,0.40213523131672596,0.48042704626334515,0.06227758007117437
Alex McCarthy,Southampton,450.0,34.6,28.2,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alex Palmer,Ipswich Town,1170.0,36.2,30.5,35.5,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.9806629834254142,0.021270718232044197,0.0,0.0
Alex Scott,Bournemouth,755.0,57.7,2.86,10.7,30.6,17.1,2.14,3.21,1.19,1.79,0.08,0.1854419410745234,0.5303292894280762,0.29636048526863085,0.03708838821490468
Alexander Isak,Newcastle United,2756.0,33.5,0.65,1.86,12.6,19.5,6.18,0.39,0.1,3.1,0.66,0.05552238805970149,0.3761194029850746,0.582089552238806,0.1844776119402985
Alexis Mac Allister,Liverpool,2599.0,64.4,1.94,9.83,33.2,22.0,2.08,3.29,0.76,1.31,0.1,0.15263975155279502,0.515527950310559,0.3416149068322981,0.03229813664596273
Alisson,Liverpool,2508.0,36.2,26.6,35.5,0.72,0.0,0.0,0.04,0.0,0.0,0.0,0.9806629834254142,0.019889502762430938,0.0,0.0
Alphonse Areola,West Ham United,2260.0,41.8,33.2,41.4,0.48,0.0,0.0,0.08,0.0,0.0,0.0,0.9904306220095694,0.011483253588516746,0.0,0.0
Altay Bayındır,Manchester Utd,360.0,42.0,36.3,41.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9880952380952381,0.011904761904761904,0.0,0.0
Amad Diallo,Manchester Utd,1901.0,57.2,0.76,8.29,21.0,28.8,6.21,1.8,0.52,2.23,0.22,0.1449300699300699,0.36713286713286714,0.5034965034965034,0.10856643356643356
Amadou Onana,Aston Villa,1617.0,55.4,3.94,14.9,32.6,8.83,1.28,3.06,1.44,0.94,0.12,0.26895306859205775,0.5884476534296029,0.15938628158844767,0.023104693140794226
Andreas Pereira,Fulham,2013.0,51.3,0.98,7.54,20.8,23.7,2.05,1.07,0.36,1.7,0.17,0.1469785575048733,0.405458089668616,0.4619883040935673,0.03996101364522417
Andrew Robertson,Liverpool,2482.0,75.5,3.33,19.5,34.1,22.5,1.92,1.41,0.76,0.54,0.04,0.2582781456953642,0.45165562913907287,0.2980132450331126,0.02543046357615894
André,Wolves,2472.0,59.0,3.24,16.0,38.0,5.64,0.11,3.31,1.35,0.36,0.01,0.2711864406779661,0.6440677966101694,0.09559322033898304,0.001864406779661017
André Onana,Manchester Utd,3060.0,40.3,30.8,39.7,0.65,0.0,0.0,0.06,0.0,0.0,0.0,0.9851116625310176,0.01612903225806452,0.0,0.0
Andrés García,Aston Villa,318.0,73.1,2.29,10.9,30.9,32.0,0.57,2.57,0.57,0.57,0.0,0.1491108071135431,0.4227086183310534,0.43775649794801647,0.007797537619699042
